"created_date","modified_date","league_pk","league_id","league_name","league_slug","league_sport","league_image","league_light_image","league_dark_image","league_region","league_priority","league_display_priority_position","league_display_priority_status"
2023-10-21 19:05:50.191 -0600,2023-10-21 19:05:50.191 -0600,1,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,0,true
2023-10-21 19:05:50.193 -0600,2023-10-21 19:05:50.193 -0600,2,109511549831443335,LCS Challengers,north_american_challenger_league,lol,http://static.lolesports.com/leagues/1671126494281_NACL23_Icon_WHT1.png,http://static.lolesports.com/leagues/1671126494281_NACL23_Icon_WHT1.png,http://static.lolesports.com/leagues/1671126494281_NACL23_Icon_BLK1.png,NORTH AMERICA,1000,1,true
2023-10-21 19:05:50.194 -0600,2023-10-21 19:05:50.194 -0600,3,109518549825754242,LCS Challengers Qualifiers,lcs_challengers_qualifiers,lol,http://static.lolesports.com/leagues/1671126518545_NACL23_Icon_WHT1.png,http://static.lolesports.com/leagues/1671126518545_NACL23_Icon_WHT1.png,http://static.lolesports.com/leagues/1671126518545_NACL23_Icon_BLK1.png,NORTH AMERICA,1000,2,true
2023-10-21 19:05:50.195 -0600,2023-10-21 19:05:50.195 -0600,4,107898214974993351,College Championship,college_championship,lol,http://static.lolesports.com/leagues/1646396098648_CollegeChampionshiplogo.png,http://static.lolesports.com/leagues/1646396098648_CollegeChampionshiplogo.png,http://static.lolesports.com/leagues/1665138903737_College_League_of_Legends_2019_logo.webp,NORTH AMERICA,1000,3,true
2023-10-21 19:05:50.196 -0600,2023-10-21 19:05:50.196 -0600,5,98767991332355509,CBLOL,cblol-brazil,lol,http://static.lolesports.com/leagues/cblol-logo-symbol-offwhite.png,http://static.lolesports.com/leagues/cblol-logo-symbol-offwhite.png,http://static.lolesports.com/leagues/cblol-logo-symbol-black.png,BRAZIL,204,0,false
2023-10-21 19:05:50.197 -0600,2023-10-21 19:05:50.197 -0600,6,98767991310872058,LCK,lck,lol,http://static.lolesports.com/leagues/lck-color-on-black.png,http://static.lolesports.com/leagues/lck-color-on-black.png,http://static.lolesports.com/leagues/lck-color-on-white.png,KOREA,4,1,false
2023-10-21 19:05:50.198 -0600,2023-10-21 19:05:50.198 -0600,7,98767991355908944,LCL,lcl,lol,http://static.lolesports.com/leagues/1593016885758_LCL-01-FullonDark.png,http://static.lolesports.com/leagues/1593016885758_LCL-01-FullonDark.png,http://static.lolesports.com/leagues/1593016885772_LCL-03-FullonLight.png,COMMONWEALTH OF INDEPENDENT STATES,209,2,false
2023-10-21 19:05:50.198 -0600,2023-10-21 19:05:50.198 -0600,8,105709090213554609,LCO,lco,lol,http://static.lolesports.com/leagues/lco-color-white.png,http://static.lolesports.com/leagues/lco-color-white.png,http://static.lolesports.com/leagues/lco-color-dark.png,OCEANIA,207,3,false
2023-10-21 19:05:50.199 -0600,2023-10-21 19:05:50.199 -0600,9,98767991302996019,LEC,lec,lol,http://static.lolesports.com/leagues/1592516184297_LEC-01-FullonDark.png,http://static.lolesports.com/leagues/1592516184297_LEC-01-FullonDark.png,http://static.lolesports.com/leagues/1592516184299_LEC-03-FullonLight.png,EMEA,3,4,false
2023-10-21 19:05:50.200 -0600,2023-10-21 19:05:50.200 -0600,10,98767991349978712,LJL,ljl-japan,lol,http://static.lolesports.com/leagues/1592516354053_LJL-01-FullonDark.png,http://static.lolesports.com/leagues/1592516354053_LJL-01-FullonDark.png,http://static.lolesports.com/leagues/1592516354056_LJL-03-FullonLight.png,JAPAN,208,5,false
2023-10-21 19:05:50.201 -0600,2023-10-21 19:05:50.201 -0600,11,101382741235120470,LLA,lla,lol,http://static.lolesports.com/leagues/1592516315279_LLA-01-FullonDark.png,http://static.lolesports.com/leagues/1592516315279_LLA-01-FullonDark.png,http://static.lolesports.com/leagues/1592516315281_LLA-03-FullonLight.png,LATIN AMERICA,206,6,false
2023-10-21 19:05:50.201 -0600,2023-10-21 19:05:50.201 -0600,12,98767991314006698,LPL,lpl,lol,http://static.lolesports.com/leagues/1592516115322_LPL-01-FullonDark.png,http://static.lolesports.com/leagues/1592516115322_LPL-01-FullonDark.png,http://static.lolesports.com/leagues/1592516115325_LPL-03-FullonLight.png,CHINA,201,7,false
2023-10-21 19:05:50.202 -0600,2023-10-21 19:05:50.202 -0600,13,104366947889790212,PCS,pcs,lol,http://static.lolesports.com/leagues/1592515942679_PCS-01-FullonDark.png,http://static.lolesports.com/leagues/1592515942679_PCS-01-FullonDark.png,http://static.lolesports.com/leagues/1592515942693_PCS-03-FullonLight.png,"HONG KONG, MACAU, TAIWAN",1000,8,false
2023-10-21 19:05:50.203 -0600,2023-10-21 19:05:50.203 -0600,14,98767991343597634,TCL,turkiye-sampiyonluk-ligi,lol,http://static.lolesports.com/leagues/1672744089338_TCL_ICON_COLOR.png,http://static.lolesports.com/leagues/1672744089338_TCL_ICON_COLOR.png,http://static.lolesports.com/leagues/1672744089341_TCL_ICON_COLOR.jpg,EMEA,203,9,false
2023-10-21 19:05:50.204 -0600,2023-10-21 19:05:50.204 -0600,15,107213827295848783,VCS,vcs,lol,http://static.lolesports.com/leagues/1677578094811_VCS_SYMBOL_TITANIUM_RGB.png,http://static.lolesports.com/leagues/1677578094811_VCS_SYMBOL_TITANIUM_RGB.png,http://static.lolesports.com/leagues/1677578094813_VCS_SYMBOL_VOID_RGB.png,VIETNAM,1000,10,false
2023-10-21 19:05:50.205 -0600,2023-10-21 19:05:50.205 -0600,16,98767991325878492,MSI,msi,lol,http://static.lolesports.com/leagues/1592594634248_MSIDarkBG.png,http://static.lolesports.com/leagues/1592594634248_MSIDarkBG.png,http://static.lolesports.com/leagues/1592594634251_MSILightBG.png,INTERNATIONAL,301,11,false
2023-10-21 19:05:50.205 -0600,2023-10-21 19:05:50.205 -0600,17,98767975604431411,Worlds,worlds,lol,http://static.lolesports.com/leagues/1592594612171_WorldsDarkBG.png,http://static.lolesports.com/leagues/1592594612171_WorldsDarkBG.png,http://static.lolesports.com/leagues/1592594612180_WorldsLightBG.png,INTERNATIONAL,300,12,false
2023-10-21 19:05:50.206 -0600,2023-10-21 19:05:50.206 -0600,18,98767991295297326,All-Star Event,all-star,lol,http://static.lolesports.com/leagues/1592594737227_ASEDarkBG.png,http://static.lolesports.com/leagues/1592594737227_ASEDarkBG.png,http://static.lolesports.com/leagues/1592594745587_ASELightBG.png,INTERNATIONAL,302,13,false
2023-10-21 19:05:50.207 -0600,2023-10-21 19:05:50.207 -0600,19,100695891328981122,EMEA Masters,emea_masters,lol,http://static.lolesports.com/leagues/1669375535108_EM_Icon_Green1.png,http://static.lolesports.com/leagues/1669375535108_EM_Icon_Green1.png,http://static.lolesports.com/leagues/1669375535111_EM_Icon_Green1.png,EMEA,1000,14,false
2023-10-21 19:05:50.208 -0600,2023-10-21 19:05:50.208 -0600,20,105266103462388553,La Ligue Française,lfl,lol,http://static.lolesports.com/leagues/LFL_Logo_2020_black1.png,http://static.lolesports.com/leagues/LFL_Logo_2020_black1.png,http://static.lolesports.com/leagues/1665139063842_LFL_Logo_2020.png,EMEA,1000,15,false
2023-10-21 19:05:50.208 -0600,2023-10-21 19:05:50.208 -0600,21,105266098308571975,NLC,nlc,lol,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1640783523550_NLCMasterLogoRGB-onBlack1.png,EMEA,1000,16,false
2023-10-21 19:05:50.209 -0600,2023-10-21 19:05:50.209 -0600,22,107407335299756365,Elite Series,elite_series,lol,http://static.lolesports.com/leagues/1641287979138_EliteSeriesMarkWhite.png,http://static.lolesports.com/leagues/1641287979138_EliteSeriesMarkWhite.png,http://static.lolesports.com/leagues/1641287979141_EliteSeriesMarkBlack.png,EMEA,1000,17,false
2023-10-21 19:05:50.210 -0600,2023-10-21 19:05:50.210 -0600,23,105266101075764040,Liga Portuguesa,liga_portuguesa,lol,http://static.lolesports.com/leagues/1649884876085_LPLOL_2021_ISO_G-c389e9ae85c243e4f76a8028bbd9ca1609c2d12bc47c3709a9250d1b3ca43f58.png,http://static.lolesports.com/leagues/1649884876085_LPLOL_2021_ISO_G-c389e9ae85c243e4f76a8028bbd9ca1609c2d12bc47c3709a9250d1b3ca43f58.png,http://static.lolesports.com/leagues/1649884876087_LPLOL_2021_ISO_G-c389e9ae85c243e4f76a8028bbd9ca1609c2d12bc47c3709a9250d1b3ca43f58.png,EMEA,1000,18,false
2023-10-21 19:05:50.211 -0600,2023-10-21 19:05:50.211 -0600,24,105266094998946936,PG Nationals,pg_nationals,lol,http://static.lolesports.com/leagues/PG_Nationals_Logo_White.png,http://static.lolesports.com/leagues/PG_Nationals_Logo_White.png,http://static.lolesports.com/leagues/1665139119802_PG_Nationals_2021_Logo.png,EMEA,1000,19,false
2023-10-21 19:05:50.211 -0600,2023-10-21 19:05:50.211 -0600,25,105266088231437431,Ultraliga,ultraliga,lol,http://static.lolesports.com/leagues/1639390623717_ULTRALIGA_logo_sq_cyan.png,http://static.lolesports.com/leagues/1639390623717_ULTRALIGA_logo_sq_cyan.png,http://static.lolesports.com/leagues/1639390623725_ULTRALIGA_logo_sq_cyan.png,EMEA,1000,20,false
2023-10-21 19:05:50.212 -0600,2023-10-21 19:05:50.212 -0600,26,105266074488398661,SuperLiga,superliga,lol,http://static.lolesports.com/leagues/SL21-V-white.png,http://static.lolesports.com/leagues/SL21-V-white.png,http://static.lolesports.com/leagues/1664881020042_LVP_Superliga.png,EMEA,1000,21,false
2023-10-21 19:05:50.213 -0600,2023-10-21 19:05:50.213 -0600,27,105266091639104326,Prime League,primeleague,lol,http://static.lolesports.com/leagues/PrimeLeagueResized.png,http://static.lolesports.com/leagues/PrimeLeagueResized.png,http://static.lolesports.com/leagues/1664881238559_Prime_Leaguelogo_square1.png,EMEA,1000,22,false
2023-10-21 19:05:50.214 -0600,2023-10-21 19:05:50.214 -0600,28,105266106309666619,Hitpoint Masters,hitpoint_masters,lol,http://static.lolesports.com/leagues/1641465237186_HM_white.png,http://static.lolesports.com/leagues/1641465237186_HM_white.png,http://static.lolesports.com/leagues/1641465237186_HM_black.png,EMEA,1000,23,false
2023-10-21 19:05:50.214 -0600,2023-10-21 19:05:50.214 -0600,29,105266111679554379,Esports Balkan League,esports_balkan_league,lol,http://static.lolesports.com/leagues/1625735031226_ebl_crest-whitePNG.png,http://static.lolesports.com/leagues/1625735031226_ebl_crest-whitePNG.png,http://static.lolesports.com/leagues/1625735031228_ebl_crest-bluePNG.png,EMEA,1000,24,false
2023-10-21 19:05:50.215 -0600,2023-10-21 19:05:50.215 -0600,30,105266108767593290,Greek Legends League,greek_legends,lol,http://static.lolesports.com/leagues/GLL_LOGO_WHITE.png,http://static.lolesports.com/leagues/GLL_LOGO_WHITE.png,http://static.lolesports.com/leagues/GLL_LOGO_BLACK.png,EMEA,1000,25,false
2023-10-21 19:05:50.216 -0600,2023-10-21 19:05:50.216 -0600,31,109545772895506419,Arabian League,arabian_league,lol,http://static.lolesports.com/leagues/1671535837069_Emblemwhite1.png,http://static.lolesports.com/leagues/1671535837069_Emblemwhite1.png,http://static.lolesports.com/leagues/1671535837072_EmblemBlack1.png,EMEA,1000,26,false
2023-10-21 19:05:50.217 -0600,2023-10-21 19:05:50.217 -0600,32,108203770023880322,LCK Academy,lck_academy,lol,http://static.lolesports.com/leagues/1651061948793_LCK_Academy_Series_AL_LCK_White_RGB.png,http://static.lolesports.com/leagues/1651061948793_LCK_Academy_Series_AL_LCK_White_RGB.png,http://static.lolesports.com/leagues/1651061948795_LCK_Academy_Series_AL_LCK_Black_RGB.png,KOREA,1000,27,false
2023-10-21 19:05:50.217 -0600,2023-10-21 19:05:50.217 -0600,33,106827757669296909,LJL Academy,ljl_academy,lol,http://static.lolesports.com/leagues/1630062215891_ljl-al_logo_gradient.png,http://static.lolesports.com/leagues/1630062215891_ljl-al_logo_gradient.png,http://static.lolesports.com/leagues/1630062215894_ljl-al_logo_gradient.png,JAPAN,1000,28,false
2023-10-21 19:05:50.218 -0600,2023-10-21 19:05:50.218 -0600,34,98767991335774713,LCK Challengers,lck_challengers_league,lol,http://static.lolesports.com/leagues/lck-cl-white.png,http://static.lolesports.com/leagues/lck-cl-white.png,http://static.lolesports.com/leagues/lck-cl-black.png,KOREA,1000,29,false
2023-10-21 19:05:50.219 -0600,2023-10-21 19:05:50.219 -0600,35,105549980953490846,CBLOL Academy,cblol_academy,lol,http://static.lolesports.com/leagues/cblol-acad-white.png,http://static.lolesports.com/leagues/cblol-acad-white.png,http://static.lolesports.com/leagues/cblol-acad-black.png,BRAZIL,1000,30,false
2023-10-21 19:05:50.219 -0600,2023-10-21 19:05:50.219 -0600,36,110371976858004491,North Regional League,north_regional_league,lol,http://static.lolesports.com/leagues/1684142706102_LRN-COLOR.png,http://static.lolesports.com/leagues/1684142706102_LRN-COLOR.png,http://static.lolesports.com/leagues/1684142706103_LRN-COLOR.png,LATIN AMERICA NORTH,1000,31,false
2023-10-21 19:05:50.220 -0600,2023-10-21 19:05:50.220 -0600,37,110372322609949919,South Regional League,south_regional_league,lol,http://static.lolesports.com/leagues/1684147981719_LRS-021.png,http://static.lolesports.com/leagues/1684147981719_LRS-021.png,http://static.lolesports.com/leagues/1684147981720_LRS-021.png,LATIN AMERICA SOUTH,1000,32,false
