"created_date","modified_date","match_pk","match_type","match_state","match_mode","match_strategy","section_pk"
2023-10-21 23:30:37.404 -0600,2023-10-21 23:30:37.404 -0600,1,normal,completed,classic,bestOf 3,1
2023-10-21 23:32:15.942 -0600,2023-10-21 23:32:15.942 -0600,2,normal,completed,classic,bestOf 3,2
2023-10-21 23:33:18.186 -0600,2023-10-21 23:33:18.186 -0600,3,normal,completed,classic,bestOf 3,3
2023-10-21 23:35:12.353 -0600,2023-10-21 23:35:12.353 -0600,4,normal,completed,classic,bestOf 3,4
2023-10-21 23:35:34.930 -0600,2023-10-21 23:35:34.930 -0600,5,normal,completed,classic,bestOf 3,5
2023-10-21 23:37:00.565 -0600,2023-10-21 23:37:00.565 -0600,6,normal,completed,classic,bestOf 3,6
2023-10-21 23:37:00.609 -0600,2023-10-21 23:37:00.609 -0600,7,normal,completed,classic,bestOf 3,6
2023-10-21 23:37:00.642 -0600,2023-10-21 23:37:00.642 -0600,8,normal,completed,classic,bestOf 3,6
2023-10-21 23:37:00.670 -0600,2023-10-21 23:37:00.670 -0600,9,normal,completed,classic,bestOf 3,6
2023-10-21 23:37:00.717 -0600,2023-10-21 23:37:00.717 -0600,10,normal,completed,classic,bestOf 3,6
2023-10-21 23:37:00.746 -0600,2023-10-21 23:37:00.746 -0600,11,normal,completed,classic,bestOf 3,7
2023-10-21 23:37:00.767 -0600,2023-10-21 23:37:00.767 -0600,12,normal,completed,classic,bestOf 3,7
2023-10-21 23:37:00.792 -0600,2023-10-21 23:37:00.792 -0600,13,normal,completed,classic,bestOf 3,7
2023-10-21 23:37:00.824 -0600,2023-10-21 23:37:00.824 -0600,14,normal,completed,classic,bestOf 3,7
2023-10-21 23:37:00.836 -0600,2023-10-21 23:37:00.836 -0600,15,normal,completed,classic,bestOf 3,7
2023-10-21 23:37:00.851 -0600,2023-10-21 23:37:00.851 -0600,16,normal,completed,classic,bestOf 3,8
2023-10-21 23:37:00.870 -0600,2023-10-21 23:37:00.870 -0600,17,normal,completed,classic,bestOf 3,8
2023-10-21 23:37:00.885 -0600,2023-10-21 23:37:00.885 -0600,18,normal,completed,classic,bestOf 3,8
2023-10-21 23:37:00.897 -0600,2023-10-21 23:37:00.897 -0600,19,normal,completed,classic,bestOf 3,8
2023-10-21 23:37:00.911 -0600,2023-10-21 23:37:00.911 -0600,20,normal,completed,classic,bestOf 3,8
2023-10-21 23:37:00.927 -0600,2023-10-21 23:37:00.927 -0600,21,normal,completed,classic,bestOf 3,9
2023-10-21 23:37:00.937 -0600,2023-10-21 23:37:00.937 -0600,22,normal,completed,classic,bestOf 3,9
2023-10-21 23:37:00.950 -0600,2023-10-21 23:37:00.950 -0600,23,normal,completed,classic,bestOf 3,9
2023-10-21 23:37:00.960 -0600,2023-10-21 23:37:00.960 -0600,24,normal,completed,classic,bestOf 3,9
2023-10-21 23:37:00.972 -0600,2023-10-21 23:37:00.972 -0600,25,normal,completed,classic,bestOf 3,9
2023-10-21 23:37:00.985 -0600,2023-10-21 23:37:00.985 -0600,26,normal,completed,classic,bestOf 3,10
2023-10-21 23:37:01.001 -0600,2023-10-21 23:37:01.001 -0600,27,normal,completed,classic,bestOf 3,10
2023-10-21 23:37:01.011 -0600,2023-10-21 23:37:01.011 -0600,28,normal,completed,classic,bestOf 3,10
2023-10-21 23:37:01.027 -0600,2023-10-21 23:37:01.027 -0600,29,normal,completed,classic,bestOf 3,10
2023-10-21 23:37:01.045 -0600,2023-10-21 23:37:01.045 -0600,30,normal,completed,classic,bestOf 3,10
