"created_date","modified_date","stage_pk","stage_name","stage_type","stage_slug","tournament_id"
2023-10-21 23:30:37.397 -0600,2023-10-21 23:30:37.397 -0600,2,Groups,,groups,1
2023-10-21 23:32:15.938 -0600,2023-10-21 23:32:15.938 -0600,3,Groups,,groups,1
2023-10-21 23:33:18.181 -0600,2023-10-21 23:33:18.181 -0600,4,Groups,,groups,1
2023-10-21 23:35:12.348 -0600,2023-10-21 23:35:12.348 -0600,5,Groups,,groups,1
2023-10-21 23:35:34.924 -0600,2023-10-21 23:35:34.924 -0600,6,Groups,,groups,1
2023-10-21 23:37:00.560 -0600,2023-10-21 23:37:00.560 -0600,7,Groups,,groups,1
2023-10-21 23:37:00.984 -0600,2023-10-21 23:37:00.984 -0600,8,knockouts,,knockouts,1
2023-10-21 23:37:01.101 -0600,2023-10-21 23:37:01.101 -0600,9,Regular Season,,regular_season,2
2023-10-21 23:37:02.164 -0600,2023-10-21 23:37:02.164 -0600,10,Playoffs,,playoffs,2
2023-10-21 23:37:02.231 -0600,2023-10-21 23:37:02.231 -0600,11,Regular Season,,regular_season,3
2023-10-21 23:37:03.151 -0600,2023-10-21 23:37:03.151 -0600,12,Playoffs,,playoffs,3
2023-10-21 23:37:03.230 -0600,2023-10-21 23:37:03.230 -0600,13,Regular Season,,regular_season,4
2023-10-21 23:37:04.582 -0600,2023-10-21 23:37:04.582 -0600,14,Playoffs,,playoffs,4
2023-10-21 23:37:04.686 -0600,2023-10-21 23:37:04.686 -0600,15,Regular Season,,regular_season,5
2023-10-21 23:37:06.118 -0600,2023-10-21 23:37:06.118 -0600,16,Playoffs,,playoffs,5
2023-10-21 23:37:06.227 -0600,2023-10-21 23:37:06.227 -0600,17,Regional Finals,,regional_finals,6
2023-10-21 23:37:06.261 -0600,2023-10-21 23:37:06.261 -0600,18,Regular Season,,regular_season,7
2023-10-21 23:37:06.958 -0600,2023-10-21 23:37:06.958 -0600,19,Playoffs,,playoffs,7
2023-10-21 23:37:07.031 -0600,2023-10-21 23:37:07.031 -0600,20,Regular Season,,regular_season,8
2023-10-21 23:37:07.919 -0600,2023-10-21 23:37:07.919 -0600,21,Playoffs,,playoffs,8
2023-10-21 23:37:07.956 -0600,2023-10-21 23:37:07.956 -0600,22,Regular Season,,regular_season,9
2023-10-21 23:37:09.146 -0600,2023-10-21 23:37:09.146 -0600,23,Playoffs,,playoffs,9
2023-10-21 23:37:09.191 -0600,2023-10-21 23:37:09.191 -0600,24,Regular Season,,regular_season,10
2023-10-21 23:37:09.901 -0600,2023-10-21 23:37:09.901 -0600,25,Playoffs,,playoffs,10
2023-10-21 23:37:09.961 -0600,2023-10-21 23:37:09.961 -0600,26,Regular Season,,regular_season,11
2023-10-21 23:37:10.947 -0600,2023-10-21 23:37:10.947 -0600,27,Playoffs,,playoffs,11
2023-10-21 23:37:11.001 -0600,2023-10-21 23:37:11.001 -0600,28,Regular Season,,regular_season,12
2023-10-21 23:37:12.592 -0600,2023-10-21 23:37:12.592 -0600,29,Playoffs,,playoffs,12
2023-10-21 23:37:12.734 -0600,2023-10-21 23:37:12.734 -0600,30,Regular Season,,regular_season,13
2023-10-21 23:37:13.604 -0600,2023-10-21 23:37:13.604 -0600,31,Playoffs,,playoffs,13
2023-10-21 23:37:13.678 -0600,2023-10-21 23:37:13.678 -0600,32,Regular Season,,regular_season,14
2023-10-21 23:37:15.728 -0600,2023-10-21 23:37:15.728 -0600,33,Playoffs,,playoffs,14
2023-10-21 23:37:15.948 -0600,2023-10-21 23:37:15.948 -0600,34,Regular Season,,regular_season,15
