"created_date","modified_date","stage_name_pk","stage_name_name"
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,1,Regional Qualifier
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,2,Groups
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,3,Round 2
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,4,Promotion Series
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,5,Play In Groups
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,6,play_in_knockouts
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,7,Round 1
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,8,Regional Finals
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,9,Regular Season
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,10,regional_qualifier
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,11,Playoffs
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,12,west
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,13,promotion
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,14,Bracket Stage
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,15,Knockouts
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,16,east
